"rate"	"back"	"ind_n"
0.992951298342086	"simple"	1
0.965749886538833	"simple"	1
0.979902603058144	"simple"	1
0.995268890354782	"simple"	1
0.97839037325466	"simple"	1
0.952623715111986	"simple"	1
0.972283814952243	"simple"	1
0.937420675053727	"simple"	2
0.949877471153159	"simple"	2
0.961147474059835	"simple"	2
0.92481674001785	"simple"	2
0.929472470530309	"simple"	2
0.971503531394992	"simple"	2
0.942633220299613	"simple"	2
0.935056203743443	"simple"	3
0.911215897654183	"simple"	3
0.910106407804415	"simple"	3
0.883774453676306	"simple"	3
0.945270832611714	"simple"	3
0.939363363396842	"simple"	3
0.939970141102094	"simple"	3
0.899475572444498	"simple"	6
0.881394592560828	"simple"	6
0.820952667109668	"simple"	6
0.963478776887059	"simple"	6
0.94067640747875	"simple"	6
0.947285686172545	"simple"	6
0.919316204935312	"simple"	6
0.90927761266008	"simple"	8
0.852139646597207	"simple"	8
0.913849989268929	"simple"	8
0.815463348561898	"simple"	8
0.826027703601867	"simple"	8
0.772426909944043	"simple"	8
0.766635529175401	"simple"	8
0.890409573072102	"simple"	12
0.917424863234628	"simple"	12
0.822771579707041	"simple"	12
0.855337334733922	"simple"	12
0.964039709100034	"simple"	12
0.754389516806696	"simple"	12
0.915178353714291	"simple"	12
0.894024165896699	"simple"	16
0.868375646416098	"simple"	16
0.838464069701731	"simple"	16
0.729701675875112	"simple"	16
0.8313186415378	"simple"	16
0.72767766549252	"simple"	16
0.891789414798841	"simple"	16
0.957211815007031	"complex"	1
0.980788011557888	"complex"	1
0.958547639672179	"complex"	1
0.965012615325395	"complex"	1
0.986633659014478	"complex"	1
0.978274973970838	"complex"	1
0.95729997480521	"complex"	1
0.894745619213208	"complex"	2
0.879541142927483	"complex"	2
0.895018073918764	"complex"	2
0.897747754645534	"complex"	2
0.885173511179164	"complex"	2
0.88492331416579	"complex"	2
0.895617261221632	"complex"	2
0.830370916123502	"complex"	3
0.834272194840014	"complex"	3
0.833235035836697	"complex"	3
0.809426188119687	"complex"	3
0.864858745248057	"complex"	3
0.835633252118714	"complex"	3
0.821576377027668	"complex"	3
0.733622736106627	"complex"	6
0.719914909633808	"complex"	6
0.722885692138225	"complex"	6
0.717035114392638	"complex"	6
0.71967606080696	"complex"	6
0.780130441582296	"complex"	6
0.777504296824336	"complex"	6
0.785726041323505	"complex"	8
0.724940449243877	"complex"	8
0.713750883052126	"complex"	8
0.82560159212444	"complex"	8
0.809245801705401	"complex"	8
0.827164413896389	"complex"	8
0.752263216522988	"complex"	8
0.670868216641247	"complex"	12
0.532034242944792	"complex"	12
0.522015623189509	"complex"	12
0.671267531160265	"complex"	12
0.571333508146927	"complex"	12
0.619796037208289	"complex"	12
0.676944539276883	"complex"	12
0.581656625343021	"complex"	16
0.460218242974952	"complex"	16
0.414906497893389	"complex"	16
0.409152153029572	"complex"	16
0.469243329681922	"complex"	16
0.386512961727567	"complex"	16
0.534697257354856	"complex"	16
